dateff,mktrf,smb,hml,rf,umd
20050131,-0.0276,-0.0152,0.0196,0.0016,0.0319
20050228,0.0189,-0.005,0.0165,0.0016,0.0316
20050331,-0.0197,-0.0141,0.0157,0.0021,0.0055
20050429,-0.0261,-0.04,-0.0035,0.0021,-0.0085
20050531,0.0365,0.0287,-0.0081,0.0024,0.0043
20050630,0.0057,0.0259,0.0265,0.0023,0.0205
20050729,0.0392,0.0293,-0.0051,0.0024,-0.0001
20050831,-0.0122,-0.0092,0.0127,0.003,0.0227
20050930,0.0049,-0.0058,0.0077,0.0029,0.0346
20051031,-0.0202,-0.0121,0.0023,0.0027,-0.0128
20051130,0.0361,0.0091,-0.0118,0.0031,0.0025
20051230,-0.0025,-0.0046,0.0044,0.0032,0.0077
20060131,0.0304,0.0542,0.0112,0.0035,0.0268
20060228,-0.003,-0.0038,-0.0025,0.0034,-0.0184
20060331,0.0146,0.0355,0.0061,0.0037,0.0126
20060428,0.0073,-0.0134,0.0259,0.0036,0.0061
20060531,-0.0357,-0.0304,0.0255,0.0043,-0.0365
20060630,-0.0035,-0.0035,0.0087,0.004,0.0149
20060731,-0.0078,-0.0408,0.0294,0.004,-0.0221
20060831,0.0203,0.009,-0.0172,0.0042,-0.0347
20060929,0.0184,-0.0137,0.0005,0.0041,-0.0094
20061031,0.0323,0.0173,-0.0004,0.0041,-0.0024
20061130,0.0171,0.0086,0.0007,0.0042,-0.0101
20061229,0.0087,-0.011,0.0316,0.004,0.0084
20070131,0.014,0.001,-0.0011,0.0044,0.0021
20070228,-0.0196,0.0132,-0.0009,0.0038,-0.0135
20070330,0.0068,-0.0006,-0.0022,0.0043,0.0247
20070430,0.0349,-0.0206,-0.0115,0.0044,-0.0016
20070531,0.0324,0.0003,-0.0005,0.0041,-0.0026
20070629,-0.0196,0.0077,-0.0113,0.004,0.0038
20070731,-0.0373,-0.0251,-0.0334,0.004,0.028
20070831,0.0092,-0.0013,-0.0224,0.0042,0.0011
20070928,0.0322,-0.0229,-0.0187,0.0032,0.0458
20071031,0.018,0.0022,-0.0259,0.0032,0.0496
20071130,-0.0483,-0.0263,-0.0118,0.0034,0.0093
20071231,-0.0087,0.002,-0.0052,0.0027,0.0652
20080131,-0.0636,-0.0089,0.0365,0.0021,-0.0789
20080229,-0.0309,-0.0023,-0.0095,0.0013,0.0614
20080331,-0.0093,0.0094,-0.0015,0.0017,0.041
20080430,0.046,-0.0164,-0.0096,0.0018,-0.002
20080530,0.0186,0.0321,-0.0138,0.0018,0.0321
20080630,-0.0844,0.0127,-0.0243,0.0017,0.1254
20080731,-0.0077,0.0247,0.0581,0.0015,-0.0515
20080829,0.0153,0.0361,0.0156,0.0013,-0.0405
20080930,-0.0924,-0.0113,0.0633,0.0015,0.0039
20081031,-0.1723,-0.0233,-0.0289,0.0008,0.078
20081128,-0.0786,-0.0299,-0.0594,0.0003,0.0712
20081231,0.0174,0.0359,-0.0024,0,-0.0506
20090130,-0.0812,-0.0001,-0.111,0,-0.0188
20090227,-0.101,0.0017,-0.0725,0.0001,0.0413
20090331,0.0895,-0.0009,0.0353,0.0002,-0.1154
20090430,0.1019,0.0483,0.0546,0.0001,-0.3439
20090529,0.0521,-0.0233,-0.0021,0,-0.1244
20090630,0.0043,0.0261,-0.0271,0.0001,0.0529
20090731,0.0772,0.0207,0.0528,0.0001,-0.0536
20090831,0.0333,-0.009,0.0776,0.0001,-0.0883
20090930,0.0408,0.0245,0.0092,0.0001,-0.0493
20091030,-0.0259,-0.0422,-0.0417,0,0.0262
20091130,0.0556,-0.0249,-0.0017,0,0.0029
20091231,0.0275,0.0611,0.0001,0.0001,0.0293
20100129,-0.0336,0.0038,0.0031,0,-0.054
20100226,0.034,0.012,0.0316,0,0.0364
20100331,0.0631,0.0142,0.021,0.0001,0.0365
20100430,0.02,0.0498,0.0281,0.0001,0.032
20100528,-0.0789,0.0005,-0.0238,0.0001,-0.0014
20100630,-0.0556,-0.0197,-0.045,0.0001,-0.03
20100730,0.0693,0.0016,-0.0027,0.0001,0.0189
20100831,-0.0477,-0.03,-0.0195,0.0001,-0.0018
20100930,0.0954,0.0392,-0.0312,0.0001,0.0135
20101029,0.0388,0.0115,-0.0259,0.0001,0.0163
20101130,0.006,0.037,-0.009,0.0001,0.0253
20101231,0.0682,0.007,0.0381,0.0001,-0.0319
20110131,0.0199,-0.0247,0.0081,0.0001,-0.0033
20110228,0.0349,0.0152,0.0109,0.0001,0.0201
20110331,0.0045,0.026,-0.0155,0.0001,0.0355
20110429,0.029,-0.0034,-0.0251,0,0.0006
20110531,-0.0127,-0.007,-0.0206,0,-0.006
20110630,-0.0175,-0.0018,-0.0031,0,0.0173
20110729,-0.0236,-0.0131,-0.0123,0,0.0009
20110831,-0.0599,-0.0306,-0.0244,0.0001,-0.0033
20110930,-0.0759,-0.0348,-0.0146,0,-0.0257
20111031,0.1135,0.0341,-0.0017,0,-0.0143
20111130,-0.0028,-0.0017,-0.0035,0,0.0399
20111230,0.0074,-0.0071,0.0174,0,0.0193
20120131,0.0505,0.0215,-0.0109,0,-0.0792
20120229,0.0442,-0.0175,0.0009,0,-0.0031
20120330,0.0311,-0.0061,0.0087,0,0.0151
20120430,-0.0085,-0.0052,-0.0047,0,0.0383
20120531,-0.0619,0.0002,-0.0062,0.0001,0.0662
20120629,0.0389,0.0077,0.0044,0,-0.0113
20120731,0.0079,-0.0258,-0.0025,0,0.0313
20120831,0.0255,0.0041,0.0128,0.0001,-0.0248
20120928,0.0273,0.005,0.0152,0.0001,-0.0102
20121031,-0.0176,-0.0114,0.0379,0.0001,0.001
20121130,0.0078,0.0059,-0.0096,0.0001,0.0038
20121231,0.0118,0.0147,0.0355,0.0001,-0.0294
20130131,0.0557,0.0039,0.0092,0,-0.0186
20130228,0.0129,-0.0045,0,0,0.013
20130328,0.0403,0.0079,-0.0026,0,0.0195
20130430,0.0155,-0.0244,0.0059,0,0.0024
20130531,0.028,0.0167,0.0255,0,-0.0181
20130628,-0.012,0.0122,-0.0019,0,0.006
20130731,0.0565,0.0186,0.0055,0,0.0172
20130830,-0.0271,0.003,-0.0278,0,0.0003
20130930,0.0377,0.0294,-0.0118,0,0.0301
20131031,0.0418,-0.0149,0.0115,0,0.0016
20131129,0.0312,0.0124,0.0024,0,0.0041
20131231,0.0281,-0.005,-0.003,0,0.0007
20140131,-0.0332,0.0087,-0.0208,0,0.017
20140228,0.0465,0.0033,-0.0039,0,0.0207
20140331,0.0043,-0.0189,0.0509,0,-0.0331
20140430,-0.0019,-0.0425,0.0114,0,-0.0387
20140530,0.0206,-0.0183,-0.0026,0,0.0114
20140630,0.0261,0.0306,-0.0074,0,0.007
20140731,-0.0204,-0.0423,0.0001,0,-0.0024
20140829,0.0424,0.0037,-0.0057,0,0.0081
20140930,-0.0197,-0.0382,-0.0122,0,0.0051
20141031,0.0252,0.0423,-0.0169,0,0.0002
20141128,0.0255,-0.0206,-0.0299,0,0.0103
20141231,-0.0006,0.0254,0.0207,0,0.0108
20150130,-0.0311,-0.0057,-0.0347,0,0.0386
20150227,0.0613,0.0053,-0.0177,0,-0.0286
20150331,-0.0112,0.0305,-0.0045,0,0.0297
20150430,0.0059,-0.0297,0.0185,0,-0.0737
20150529,0.0136,0.0094,-0.0133,0,0.0597
20150630,-0.0153,0.0281,-0.0081,0,0.031
20150731,0.0154,-0.0415,-0.0414,0,0.1029
20150831,-0.0604,0.0049,0.0269,0,-0.0208
20150930,-0.0308,-0.0264,0.0053,0,0.0531
20151030,0.0775,-0.0198,-0.0009,0,-0.0394
20151130,0.0056,0.0364,-0.0051,0,0.0227
20151231,-0.0217,-0.0281,-0.0257,0.0001,0.0342
20160129,-0.0577,-0.0339,0.021,0.0001,0.0143
20160229,-0.0007,0.0078,-0.0048,0.0002,-0.0409
20160331,0.0696,0.0089,0.0114,0.0002,-0.0517
20160429,0.0092,0.0067,0.0325,0.0001,-0.0622
20160531,0.0178,-0.0026,-0.018,0.0001,0.0191
20160630,-0.0005,0.0065,-0.0149,0.0002,0.0421
20160729,0.0395,0.0264,-0.0113,0.0002,-0.0306
20160831,0.005,0.0117,0.0334,0.0002,-0.0313
20160930,0.0025,0.0201,-0.0149,0.0002,-0.0055
20161031,-0.0202,-0.0436,0.0416,0.0002,0.0064
20161130,0.0486,0.0548,0.0827,0.0001,-0.0421
20161230,0.0182,0.0008,0.0361,0.0003,-0.0038
20170131,0.0194,-0.0105,-0.0268,0.0004,-0.0091
20170228,0.0357,-0.0199,-0.0179,0.0004,-0.0166
20170331,0.0017,0.012,-0.0317,0.0003,-0.0097
20170428,0.0109,0.0073,-0.0191,0.0005,0.0052
20170531,0.0106,-0.0254,-0.0375,0.0006,0.0143
20170630,0.0078,0.0215,0.0132,0.0006,-0.0022
20170731,0.0187,-0.0142,-0.0028,0.0007,0.0162
20170831,0.0016,-0.0171,-0.0226,0.0009,0.0357
20170929,0.0251,0.0453,0.0302,0.0009,-0.012
20171031,0.0225,-0.0195,-0.0008,0.0009,0.0428
20171130,0.0312,-0.0063,0.0002,0.0008,-0.0075
20171229,0.0106,-0.0127,0.0011,0.0009,-0.0158
20180131,0.0557,-0.0306,-0.0141,0.0011,0.0401
20180228,-0.0365,0.0028,-0.012,0.0011,0.0398
